"","week","treatment_id","experiment","click_sum","week_fac","prob_based","exp_factor","click_ind","country"
"30021",3,3,2,0,"week  3","no_prob","2",0,"US"
"30062",3,5,2,0,"week  3","prob_email","2",0,"US"
"3007",3,2,2,0,"week  3","no_prob","2",0,"US"
"3008",3,1,2,0,"week  3","no_email","2",0,"US"
"30112",3,3,2,0,"week  3","no_prob","2",0,"US"
"30122",3,6,2,0,"week  3","rel_prob_email","2",0,"US"
"30142",3,4,2,0,"week  3","prob_email","2",0,"US"
"30152",3,3,2,0,"week  3","no_prob","2",0,"US"
"30161",3,7,2,0,"week  3","rel_prob_email","2",0,"US"
"30181",3,5,2,0,"week  3","prob_email","2",0,"US"
"30192",3,6,2,0,"week  3","rel_prob_email","2",0,"US"
"30251",3,4,2,0,"week  3","prob_email","2",0,"US"
"30272",3,5,2,0,"week  3","prob_email","2",0,"US"
"30292",3,2,2,0,"week  3","no_prob","2",0,"US"
"3031",3,3,2,0,"week  3","no_prob","2",0,"US"
"30321",3,3,2,0,"week  3","no_prob","2",0,"US"
"30341",3,1,2,0,"week  3","no_email","2",0,"US"
"30411",3,4,2,8,"week  3","prob_email","2",1,"US"
"30442",3,6,2,0,"week  3","rel_prob_email","2",0,"US"
"30541",3,6,2,0,"week  3","rel_prob_email","2",0,"US"
"30551",3,5,2,8,"week  3","prob_email","2",1,"US"
"30562",3,6,2,0,"week  3","rel_prob_email","2",0,"US"
"3059",3,7,2,0,"week  3","rel_prob_email","2",0,"US"
"30701",3,5,2,0,"week  3","prob_email","2",0,"US"
"30712",3,7,2,0,"week  3","rel_prob_email","2",0,"US"
"30742",3,7,2,0,"week  3","rel_prob_email","2",0,"US"
"30781",3,7,2,4,"week  3","rel_prob_email","2",1,"US"
"30943",3,6,2,0,"week  3","rel_prob_email","2",0,"US"
"30961",3,6,2,0,"week  3","rel_prob_email","2",0,"US"
"30971",3,7,2,0,"week  3","rel_prob_email","2",0,"US"
"3105",3,5,2,0,"week  3","prob_email","2",0,"US"
"31061",3,3,2,0,"week  3","no_prob","2",0,"US"
"31112",3,4,2,0,"week  3","prob_email","2",0,"US"
"31121",3,1,2,0,"week  3","no_email","2",0,"US"
"3119",3,2,2,0,"week  3","no_prob","2",0,"US"
"31202",3,2,2,0,"week  3","no_prob","2",0,"US"
"31222",3,6,2,40,"week  3","rel_prob_email","2",1,"US"
"31231",3,7,2,0,"week  3","rel_prob_email","2",0,"US"
"31241",3,5,2,0,"week  3","prob_email","2",0,"US"
"31251",3,1,2,8,"week  3","no_email","2",1,"US"
"31302",3,2,2,0,"week  3","no_prob","2",0,"US"
"31371",3,1,2,0,"week  3","no_email","2",0,"US"
"31381",3,4,2,0,"week  3","prob_email","2",0,"US"
"31391",3,5,2,116,"week  3","prob_email","2",1,"US"
"31441",3,2,2,0,"week  3","no_prob","2",0,"US"
"31461",3,3,2,112,"week  3","no_prob","2",1,"US"
"3147",3,3,2,0,"week  3","no_prob","2",0,"US"
"31481",3,6,2,0,"week  3","rel_prob_email","2",0,"US"
"31501",3,3,2,0,"week  3","no_prob","2",0,"US"
"31522",3,2,2,0,"week  3","no_prob","2",0,"US"
"3153",3,1,2,0,"week  3","no_email","2",0,"US"
"31571",3,2,2,0,"week  3","no_prob","2",0,"US"
"31621",3,3,2,0,"week  3","no_prob","2",0,"US"
"31643",3,3,2,120,"week  3","no_prob","2",1,"US"
"31672",3,2,2,0,"week  3","no_prob","2",0,"US"
"31752",3,2,2,378,"week  3","no_prob","2",1,"US"
"3178",3,7,2,0,"week  3","rel_prob_email","2",0,"US"
"31811",3,3,2,136,"week  3","no_prob","2",1,"US"
"31832",3,7,2,0,"week  3","rel_prob_email","2",0,"US"
"3185",3,2,2,148,"week  3","no_prob","2",1,"US"
"31871",3,7,2,0,"week  3","rel_prob_email","2",0,"US"
"31881",3,5,2,0,"week  3","prob_email","2",0,"US"
"3190",3,5,2,0,"week  3","prob_email","2",0,"US"
"31941",3,1,2,0,"week  3","no_email","2",0,"US"
"31981",3,5,2,104,"week  3","prob_email","2",1,"US"
"3205",3,2,2,0,"week  3","no_prob","2",0,"US"
"32061",3,2,2,329,"week  3","no_prob","2",1,"US"
"32071",3,4,2,0,"week  3","prob_email","2",0,"US"
"32112",3,3,2,4,"week  3","no_prob","2",1,"US"
"32141",3,4,2,0,"week  3","prob_email","2",0,"US"
"32162",3,1,2,0,"week  3","no_email","2",0,"US"
"32212",3,4,2,0,"week  3","prob_email","2",0,"US"
"32223",3,3,2,0,"week  3","no_prob","2",0,"US"
"32341",3,6,2,20,"week  3","rel_prob_email","2",1,"US"
"32382",3,7,2,0,"week  3","rel_prob_email","2",0,"US"
"32411",3,5,2,0,"week  3","prob_email","2",0,"US"
"32421",3,4,2,0,"week  3","prob_email","2",0,"US"
"32441",3,4,2,28,"week  3","prob_email","2",1,"US"
"32491",3,1,2,174,"week  3","no_email","2",1,"US"
"32531",3,7,2,0,"week  3","rel_prob_email","2",0,"US"
"32541",3,4,2,0,"week  3","prob_email","2",0,"US"
"32661",3,2,2,0,"week  3","no_prob","2",0,"US"
"32711",3,1,2,0,"week  3","no_email","2",0,"US"
"32751",3,1,2,0,"week  3","no_email","2",0,"US"
"32803",3,6,2,0,"week  3","rel_prob_email","2",0,"US"
"32842",3,6,2,0,"week  3","rel_prob_email","2",0,"US"
"32882",3,2,2,0,"week  3","no_prob","2",0,"US"
"3291",3,2,2,136,"week  3","no_prob","2",1,"US"
"32962",3,2,2,0,"week  3","no_prob","2",0,"US"
"32971",3,2,2,164,"week  3","no_prob","2",1,"US"
"3299",3,7,2,43,"week  3","rel_prob_email","2",1,"US"
"33021",3,6,2,0,"week  3","rel_prob_email","2",0,"US"
"33071",3,1,2,0,"week  3","no_email","2",0,"US"
"33091",3,6,2,12,"week  3","rel_prob_email","2",1,"US"
"33121",3,1,2,0,"week  3","no_email","2",0,"US"
"33182",3,4,2,0,"week  3","prob_email","2",0,"US"
"33211",3,4,2,0,"week  3","prob_email","2",0,"US"
"33301",3,2,2,0,"week  3","no_prob","2",0,"US"
"33331",3,5,2,0,"week  3","prob_email","2",0,"US"
"3334",3,1,2,0,"week  3","no_email","2",0,"US"
"33371",3,6,2,0,"week  3","rel_prob_email","2",0,"US"
"33401",3,7,2,0,"week  3","rel_prob_email","2",0,"US"
"33411",3,2,2,0,"week  3","no_prob","2",0,"US"
"3342",3,5,2,0,"week  3","prob_email","2",0,"US"
"33431",3,5,2,0,"week  3","prob_email","2",0,"US"
"33451",3,5,2,0,"week  3","prob_email","2",0,"US"
"3346",3,3,2,0,"week  3","no_prob","2",0,"US"
"33481",3,1,2,0,"week  3","no_email","2",0,"US"
"33491",3,4,2,0,"week  3","prob_email","2",0,"US"
"33502",3,6,2,0,"week  3","rel_prob_email","2",0,"US"
"33521",3,5,2,0,"week  3","prob_email","2",0,"US"
"33531",3,4,2,0,"week  3","prob_email","2",0,"US"
"33592",3,3,2,0,"week  3","no_prob","2",0,"US"
"3365",3,4,2,0,"week  3","prob_email","2",0,"US"
"3366",3,2,2,0,"week  3","no_prob","2",0,"US"
"33671",3,7,2,0,"week  3","rel_prob_email","2",0,"US"
"3368",3,7,2,0,"week  3","rel_prob_email","2",0,"US"
"3369",3,6,2,0,"week  3","rel_prob_email","2",0,"US"
"33711",3,3,2,0,"week  3","no_prob","2",0,"US"
"33721",3,5,2,0,"week  3","prob_email","2",0,"US"
"33761",3,2,2,0,"week  3","no_prob","2",0,"US"
"33772",3,2,2,0,"week  3","no_prob","2",0,"US"
"3382",3,7,2,0,"week  3","rel_prob_email","2",0,"US"
"3385",3,6,2,0,"week  3","rel_prob_email","2",0,"US"
"33871",3,2,2,0,"week  3","no_prob","2",0,"US"
"33911",3,2,2,0,"week  3","no_prob","2",0,"US"
"33991",3,3,2,0,"week  3","no_prob","2",0,"US"
"34121",3,3,2,0,"week  3","no_prob","2",0,"US"
"3414",3,1,2,0,"week  3","no_email","2",0,"US"
"3423",3,1,2,0,"week  3","no_email","2",0,"US"
"34281",3,3,2,0,"week  3","no_prob","2",0,"US"
"34302",3,4,2,0,"week  3","prob_email","2",0,"US"
"34311",3,5,2,0,"week  3","prob_email","2",0,"US"
"3434",3,6,2,0,"week  3","rel_prob_email","2",0,"US"
"3435",3,1,2,0,"week  3","no_email","2",0,"US"
"34371",3,1,2,0,"week  3","no_email","2",0,"US"
"34452",3,6,2,0,"week  3","rel_prob_email","2",0,"US"
"34531",3,1,2,0,"week  3","no_email","2",0,"US"
"3458",3,1,2,0,"week  3","no_email","2",0,"US"
"3459",3,1,2,0,"week  3","no_email","2",0,"US"
"34601",3,5,2,0,"week  3","prob_email","2",0,"US"
"3468",3,7,2,0,"week  3","rel_prob_email","2",0,"US"
"34711",3,4,2,0,"week  3","prob_email","2",0,"US"
"3477",3,1,2,0,"week  3","no_email","2",0,"US"
"34803",3,3,2,0,"week  3","no_prob","2",0,"US"
"34811",3,6,2,0,"week  3","rel_prob_email","2",0,"US"
"3482",3,5,2,0,"week  3","prob_email","2",0,"US"
"34831",3,4,2,0,"week  3","prob_email","2",0,"US"
